"town" "dif_rep_voteshare" "dif_dem_voteshare" "votedif"
"54" "Glastonbury" -0.137753753691262 0.137753753691262 -578
"55" "Goshen" 0.0951365079445644 -0.0951365079445645 -15
"56" "Granby" -0.0284771523269102 0.0284771523269103 -103
"57" "Greenwich" 0.0186283645968293 -0.0186283645968292 -609
"58" "Griswold" -0.0945076521424024 0.0945076521424024 -342
"59" "Groton" -0.215985395168192 0.215985395168192 -1016
"60" "Guilford" -0.204948387842706 0.204948387842706 -626
"61" "Haddam" -0.0731424128475138 0.0731424128475138 -129
"62" "Hamden" -0.420000617634693 0.420000617634693 -1824
"63" "Hampton" -0.190285812747923 0.190285812747923 -62
"64" "Hartford" -0.858917044320499 0.858917044320499 -556
"65" "Hartland" 0.256518429573086 -0.256518429573086 -60
"66" "Harwinton" 0.145087683314532 -0.145087683314532 -50
"67" "Hebron" -0.0771433157095936 0.0771433157095935 -162
"68" "Kent" -0.305345345102876 0.305345345102876 -77
"69" "Killingly" -0.113480365798207 0.113480365798207 -522
"70" "Killingworth" -0.0673503987993956 0.0673503987993955 -136
"71" "Lebanon" -0.0837080219541692 0.0837080219541692 -377
"72" "Ledyard" -0.0547044077023292 0.0547044077023292 -754
"73" "Lisbon" -0.134836357118451 0.134836357118451 -200
"74" "Litchfield" 0.00793355972058052 -0.00793355972058063 -341
"75" "Lyme" -0.230420610273095 0.230420610273095 -119
"76" "Madison" -0.0680535543889935 0.0680535543889935 -338
"77" "Manchester" -0.339301942884009 0.339301942884009 -2713
"78" "Mansfield" -0.538817918192902 0.538817918192902 -975
"79" "Marlborough" -0.0828547392234979 0.0828547392234978 -206
"80" "Meriden" -0.367576264669675 0.367576264669675 -1510
"81" "Middlebury" 0.19137134373913 -0.19137134373913 -121
"82" "Middlefield" -0.106859751234966 0.106859751234966 -29
"83" "Middletown" -0.413137125586899 0.413137125586899 -1115
"84" "Milford" -0.102104437032852 0.102104437032852 -1516
"85" "Monroe" 0.0974373723019685 -0.0974373723019684 -856
"86" "Montville" -0.120309980971321 0.120309980971321 -835
"87" "Morris" 0.101102216034343 -0.101102216034343 -77
"88" "Naugatuck" -0.0385510195449813 0.0385510195449814 -1452
"89" "New Britain" -0.525122428719947 0.525122428719947 -1349
"90" "New Canaan" 0.177074823870927 -0.177074823870927 -169
"91" "New Fairfield" 0.109558236173882 -0.109558236173882 170
"92" "New Hartford" 0.00934306837326315 -0.00934306837326315 -326
"93" "New Haven" -0.785153610570433 0.785153610570433 -1159
"94" "New London" -0.60553592519324 0.60553592519324 -2430
"95" "New Milford" -0.0511171795156901 0.05111717951569 -833
"96" "Newington" -0.237482696413991 0.237482696413991 -1057
"97" "Newtown" 0.00999419919718869 -0.00999419919718875 -880
"98" "Norfolk" -0.368235939132504 0.368235939132504 106
"99" "North Branford" -0.0255831675502451 0.025583167550245 -421
"100" "North Canaan" -0.159498865381218 0.159498865381218 -263
"101" "North Haven" -0.0415774568812056 0.0415774568812056 -1842
"102" "North Stonington" -0.0461533777702027 0.0461533777702027 -287
"103" "Norwalk" -0.295901736862831 0.295901736862831 -1998
