OBJECTID,2010 Census Block Group ID,Registrants,Total Damaged (any type),Registrants w/o Inspection,Damaged w/o Flooding,Basement Flooded up to 2 Feet,Basement Flooded 2 Feet or More,First Floor Flooded up to 1 Foot,First Floor Flooded 1 to 4 Feet,Living Space Flooded 4 Feet or More,Damaged Owners Single Family,Damaged Owners Multifamily,Damaged Owners Missing Building Type,Damaged Single Family,Damaged Multifamily,Damaged Renters Missing Building Type,Uninsured Owners with Damage,Insured Owners with Damage,Total Housing Units,Seasonal Housing Units,Percent Non-Seasonal Damaged,Shape__Area,Shape__Length
160,340170055001,268,40,228,26,11,1,2,0,0,26,0,0,10,4,0,13,13,972,2,4.1,375271.76953125,2760.63378082071
161,340170056001,118,13,105,9,3,1,0,0,0,8,0,0,3,2,0,2,6,547,1,2.4,142274.73046875,1745.91737970393
162,340170058011,228,28,200,20,5,0,2,1,0,17,0,0,9,2,0,11,6,881,0,3.2,233880.39453125,2140.0506832571
163,340170058012,171,22,149,16,4,0,2,0,0,5,0,0,9,8,0,3,2,497,1,4.4,150272.9765625,1631.53839348603
164,340390327006,66,10,56,8,2,0,0,0,0,8,0,0,2,0,0,5,3,738,3,1.4,1820149.23828125,6075.90005304448
165,340170040002,160,22,138,8,13,0,0,0,1,12,0,0,8,2,0,9,3,877,1,2.5,253313.31640625,2017.43015551478
166,340170040003,87,48,39,2,18,25,2,1,0,40,0,0,8,0,0,40,0,289,0,16.6,124378.78125,1481.41139713428
167,340170042002,124,12,112,9,2,1,0,0,0,4,0,0,6,2,0,2,2,492,0,2.4,125211.640625,1496.27420265526
168,340170042003,65,13,52,11,2,0,0,0,0,8,0,0,1,4,0,2,6,305,0,4.3,138592.5,1708.05812595122
169,340170043002,111,11,100,5,2,1,2,1,0,3,0,0,5,3,0,2,1,508,2,2.2,166089.72265625,1717.45001741013
170,340170044001,244,35,209,27,8,0,0,0,0,9,0,0,10,16,0,5,4,1103,0,3.2,280096.40234375,2178.54250418423
171,340170045002,97,11,86,6,5,0,0,0,0,8,0,0,1,2,0,6,2,431,1,2.6,225367.73046875,1928.01309907418
172,340170041014,86,10,76,5,4,0,0,0,1,4,0,0,0,6,0,3,1,429,0,2.3,114519.2421875,1360.20825385906
173,340390358002,141,61,80,7,21,17,4,10,2,48,0,0,13,0,0,35,13,314,0,19.4,1620088.625,5702.67791164207
174,340390360003,337,117,220,8,11,47,21,23,7,74,0,0,28,15,0,57,17,742,0,15.8,1179497.88671875,4616.7859851366
175,340390343003,75,13,62,10,1,1,1,0,0,13,0,0,0,0,0,2,11,619,0,2.1,1040751.3203125,4214.83843947144
