ZCTA5,STATE,COUNTY,TRACT,GEOID,POPPT,HUPT,AREAPT, AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,TRPOP,TRHU,TRAREA,TRAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,TRPOPPCT,TRHUPCT,TRAREAPCT,TRAREALANDPCT\
6040,9,3,514300,9003514300,1970,832,978591,978591,35306,15450,44343040,43949945,4291,1817,2192298,2192298,5.58,5.39,2.21,2.23,45.91,45.79,44.64,44.64\
6040,9,3,514400,9003514400,2135,842,1221700,1197943,35306,15450,44343040,43949945,4768,2061,2481456,2457699,6.05,5.45,2.76,2.73,44.78,40.85,49.23,48.74\
6040,9,3,514500,9003514500,2884,1178,1658842,1658842,35306,15450,44343040,43949945,4364,1854,2721373,2673229,8.17,7.62,3.74,3.77,66.09,63.54,60.96,62.05\
6040,9,3,514600,9003514600,5261,2461,2144937,2144937,35306,15450,44343040,43949945,5261,2461,2144937,2144937,14.9,15.93,4.84,4.88,100,100,100,100\
6040,9,3,514700,9003514700,4298,2308,1382996,1382996,35306,15450,44343040,43949945,4298,2308,1382996,1382996,12.17,14.94,3.12,3.15,100,100,100,100\
6040,9,3,514800,9003514800,3485,1426,1377523,1377523,35306,15450,44343040,43949945,3485,1426,1377523,1377523,9.87,9.23,3.11,3.13,100,100,100,100\
6040,9,3,514900,9003514900,513,214,584441,584441,35306,15450,44343040,43949945,2881,1222,3568418,3546013,1.45,1.39,1.32,1.33,17.81,17.51,16.38,16.48\
6040,9,3,515000,9003515000,2923,1238,5922710,5819702,35306,15450,44343040,43949945,2923,1238,5922710,5819702,8.28,8.01,13.36,13.24,100,100,100,100\
6040,9,3,515101,9003515101,2555,1004,2923785,2923785,35306,15450,44343040,43949945,2555,1004,2923785,2923785,7.24,6.5,6.59,6.65,100,100,100,100\
6040,9,3,515102,9003515102,5866,2464,14477680,14371253,35306,15450,44343040,43949945,5866,2464,14477680,14371253,16.61,15.95,32.65,32.7,100,100,100,100\
6040,9,3,515200,9003515200,3416,1483,11591881,11431978,35306,15450,44343040,43949945,3416,1483,11591881,11431978,9.68,9.6,26.14,26.01,100,100,100,100\
6042,9,3,487201,9003487201,4,2,4873,4873,22942,10549,27354965,27027751,4567,1791,7241871,7240457,0.02,0.02,0.02,0.02,0.09,0.11,0.07,.07\
6042,9,3,511400,9003511400,3,1,25,25,22942,10549,27354965,27027751,2421,882,4350932,4350932,0.01,0.01,0,0,0.12,0.11,0,0\
6042,9,3,514101,9003514101,3659,1484,4723590,4706324,22942,10549,27354965,27027751,3659,1484,4723590,4706324,15.95,14.07,17.27,17.41,100,100,100,100\
6042,9,3,514102,9003514102,7398,3687,12331475,12294010,22942,10549,27354965,27027751,7398,3687,12409429,12371964,32.25,34.95,45.08,45.49,100,100,99.37,99.37\
6042,9,3,514200,9003514200,3076,1487,3775031,3573097,22942,10549,27354965,27027751,3076,1487,3775031,3573097,13.41,14.1,13.8,13.22,100,100,100,100\
6042,9,3,514300,9003514300,2321,985,1213707,1213707,22942,10549,27354965,27027751,4291,1817,2192298,2192298,10.12,9.34,4.44,4.49,54.09,54.21,55.36,55.36\
6042,9,3,514400,9003514400,2633,1219,1259756,1259756,22942,10549,27354965,27027751,4768,2061,2481456,2457699,11.48,11.56,4.61,4.66,55.22,59.15,50.77,51.26\
6042,9,3,514500,9003514500,1480,676,1062531,1014387,22942,10549,27354965,27027751,4364,1854,2721373,2673229,6.45,6.41,3.88,3.75,33.91,36.46,39.04,37.95\
6042,9,3,514900,9003514900,2368,1008,2983977,2961572,22942,10549,27354965,27027751,2881,1222,3568418,3546013,10.32,9.56,10.91,10.96,82.19,82.49,83.62,83.52\
6043,9,13,528100,9013528100,6,3,12137,12137,4986,2018,38092950,37326699,3303,1317,40648384,40008729,0.12,0.15,0.03,0.03,0.18,0.23,0.03,.03\
6043,9,13,529100,9013529100,4980,2015,38080813,37314562,4986,2018,38092950,37326699,4980,2015,38080813,37314562,99.88,99.85,99.97,99.97,100,100,100,100\
6051,9,3,415300,9003415300,2282,1029,541181,541181,30519,13318,10602237,10602237,2282,1029,541181,541181,7.48,7.73,5.1,5.1,100,100,100,100\
6051,9,3,415400,9003415400,6289,2480,2807808,2807808,30519,13318,10602237,10602237,6289,2480,2807808,2807808,20.61,18.62,26.48,26.48,100,100,100,100\
6051,9,3,415500,9003415500,2930,1179,1122403,1122403,30519,13318,10602237,10602237,2930,1179,1122403,1122403,9.6,8.85,10.59,10.59,100,100,100,100\
6051,9,3,415600,9003415600,4215,1817,1142215,1142215,30519,13318,10602237,10602237,4215,1817,1142215,1142215,13.81,13.64,10.77,10.77,100,100,100,100\
6051,9,3,415700,9003415700,791,378,279542,279542,30519,13318,10602237,10602237,3266,1475,1314675,1279001,2.59,2.84,2.64,2.64,24.22,25.63,21.26,21.86\
6051,9,3,415800,9003415800,407,194,202175,202175,30519,13318,10602237,10602237,2473,1201,1370286,1370286,1.33,1.46,1.91,1.91,16.46,16.15,14.75,14.75\
6051,9,3,415900,9003415900,464,196,190406,190406,30519,13318,10602237,10602237,1788,804,651127,651127,1.52,1.47,1.8,1.8,25.95,24.38,29.24,29.24\
6051,9,3,416000,9003416000,843,382,104166,104166,30519,13318,10602237,10602237,4516,2167,812078,812078,2.76,2.87,0.98,0.98,18.67,17.63,12.83,12.83\
6051,9,3,416100,9003416100,3955,1738,698440,698440,30519,13318,10602237,10602237,4809,2127,896460,896460,12.96,13.05,6.59,6.59,82.24,81.71,77.91,77.91\
6051,9,3,416200,9003416200,2720,1191,493750,493750,30519,13318,10602237,10602237,3102,1374,556323,556323,8.91,8.94,4.66,4.66,87.69,86.68,88.75,88.75\
6051,9,3,416300,9003416300,3737,1695,1834119,1834119,30519,13318,10602237,10602237,3737,1695,1834119,1834119,12.24,12.73,17.3,17.3,100,100,100,100\
6051,9,3,417100,9003417100,1886,1039,1186032,1186032,30519,13318,10602237,10602237,1886,1039,1186032,1186032,6.18,7.8,11.19,11.19,100,100,100,100\
6052,9,3,400300,9003400300,5,3,38236,38236,7858,3469,6662737,6604179,6902,2845,16090956,15703103,0.06,0.09,0.57,0.58,0.07,0.11,0.24,.24\
6052,9,3,415700,9003415700,2475,1097,1035133,999459,7858,3469,6662737,6604179,3266,1475,1314675,1279001,31.5,31.62,15.54,15.13,75.78,74.37,78.74,78.14\
6052,9,3,415800,9003415800,2065,1006,1089644,1089644,7858,3469,6662737,6604179,2473,1201,1370286,1370286,26.28,29,16.35,16.5,83.5,83.76,79.52,79.52\
6052,9,3,416400,9003416400,3313,1363,4499724,4476840,7858,3469,6662737,6604179,3313,1363,4499724,4476840,42.16,39.29,67.54,67.79,100,100,100,100\
6053,9,3,415800,9003415800,1,1,78467,78467,34863,14454,20962832,20831103,2473,1201,1370286,1370286,0,0.01,0.37,0.38,0.04,0.08,5.73,5.73\
6053,9,3,415900,9003415900,1324,608,460721,460721,34863,14454,20962832,20831103,1788,804,651127,651127,3.8,4.21,2.2,2.21,74.05,75.62,70.76,70.76\
6053,9,3,416000,9003416000,3673,1785,707912,707912,34863,14454,20962832,20831103,4516,2167,812078,812078,10.54,12.35,3.38,3.4,81.33,82.37,87.17,87.17\
6053,9,3,416100,9003416100,854,389,198020,198020,34863,14454,20962832,20831103,4809,2127,896460,896460,2.45,2.69,0.94,0.95,17.76,18.29,22.09,22.09\
6053,9,3,416200,9003416200,382,183,62573,62573,34863,14454,20962832,20831103,3102,1374,556323,556323,1.1,1.27,0.3,0.3,12.31,13.32,11.25,11.25\
6053,9,3,416500,9003416500,4703,1852,3104896,3104896,34863,14454,20962832,20831103,4703,1852,3104896,3104896,13.49,12.81,14.81,14.91,100,100,100,100\
6053,9,3,416600,9003416600,2937,1255,1598493,1598493,34863,14454,20962832,20831103,2937,1255,1598493,1598493,8.42,8.68,7.63,7.67,100,100,100,100\
6053,9,3,416700,9003416700,6561,2762,2625584,2625584,34863,14454,20962832,20831103,6561,2762,2625584,2625584,18.82,19.11,12.52,12.6,100,100,100,100\
6053,9,3,416800,9003416800,3019,1350,1186159,1186159,34863,14454,20962832,20831103,3019,1350,1186159,1186159,8.66,9.34,5.66,5.69,100,100,100,100\
6053,9,3,417200,9003417200,1822,805,601956,601956,34863,14454,20962832,20831103,1822,805,601956,601956,5.23,5.57,2.87,2.89,100,100,100,100\
6053,9,3,417300,9003417300,2150,32,584940,584940,34863,14454,20962832,20831103,2150,32,584940,584940,6.17,0.22,2.79,2.81,100,100,100,100\
6053,9,3,417400,9003417400,2954,1479,2782743,2735753,34863,14454,20962832,20831103,2954,1479,2782743,2735753,8.47,10.23,13.27,13.13,100,100,100,100\
6053,9,3,417500,9003417500,4454,1941,3659030,3574291,34863,14454,20962832,20831103,4454,1941,3659030,3574291,12.78,13.43,17.45,17.16,100,100,100,100\
6053,9,3,420700,9003420700,5,3,2519370,2519370,34863,14454,20962832,20831103,3555,1480,8879935,8805268,0.01,0.02,12.02,12.09,0.14,0.2,28.37,28.61\
6053,9,3,460202,9003460202,24,9,791968,791968,34863,14454,20962832,20831103,4119,1788,19844699,19698410,0.07,0.06,3.78,3.8,0.58,0.5,3.99,4.02\
6057,9,5,306100,9005306100,6707,2784,97404370,94463646,6707,2784,97404370,94463646,6970,2923,98867958,95927234,100,100,100,100,96.23,95.24,98.52,98.47\
6058,9,5,293100,9005293100,11,6,1101200,1101200,1787,1007,134701573,131383772,1485,722,85269228,81666018,0.62,0.6,0.82,0.84,0.74,0.83,1.29,1.35\
6058,9,5,296100,9005296100,67,34,13351613,12899221,1787,1007,134701573,131383772,2976,1664,117033522,113004844,3.75,3.38,9.91,9.82,2.25,2.04,11.41,11.41\
6058,9,5,425600,9005425600,1709,967,120248760,117383351,1787,1007,134701573,131383772,2943,1746,206327736,202625921,95.64,96.03,89.27,89.34,58.07,55.38,58.28,57.93\
6059,9,5,290100,9005290100,0,0,10495613,7586417,0,0,10495613,7586417,3799,1589,100568238,93896772,0,0,100,100,0,0,10.44,8.08\
6060,9,3,330100,9003330100,13,6,438967,438967,2581,902,31267277,31265752,2114,856,89607083,85675124,0.5,0.67,1.4,1.4,0.61,0.7,0.49,.51\
6060,9,3,468101,9003468101,2568,896,30828310,30826785,2581,902,31267277,31265752,7468,2732,91821908,91537265,99.5,99.33,98.6,98.6,34.39,32.8,33.57,33.68\
6061,9,5,306100,9005306100,169,75,330786,330786,169,75,330786,330786,6970,2923,98867958,95927234,100,100,100,100,2.42,2.57,0.33,.34\
6062,9,3,405401,9003405401,4,3,3558,3558,17715,8063,22815833,22634325,3325,1400,3815499,3805567,0.02,0.04,0.02,0.02,0.12,0.21,0.09,.09\
6062,9,3,420400,9003420400,2839,1236,5813848,5779949,17715,8063,22815833,22634325,2839,1236,5813848,5779949,16.03,15.33,25.48,25.54,100,100,100,100\
6062,9,3,420500,9003420500,5442,2614,4726758,4726758,17715,8063,22815833,22634325,5442,2614,4726758,4726758,30.72,32.42,20.72,20.88,100,100,100,100\
6062,9,3,420600,9003420600,5880,2733,5911104,5838162,17715,8063,22815833,22634325,5880,2733,5911104,5838162,33.19,33.9,25.91,25.79,100,100,100,100\
6062,9,3,420700,9003420700,3550,1477,6360565,6285898,17715,8063,22815833,22634325,3555,1480,8879935,8805268,20.04,18.32,27.88,27.77,99.86,99.8,71.63,71.39\
6063,9,5,290100,9005290100,3285,1381,80421830,76659560,3285,1381,80421830,76659560,3799,1589,100568238,93896772,100,100,100,100,86.47,86.91,79.97,81.64\
6065,9,3,330100,9003330100,469,182,15677086,15641710,882,350,24984453,24949077,2114,856,89607083,85675124,53.17,52,62.75,62.69,22.19,21.26,17.5,18.26\
6065,9,5,290100,9005290100,413,168,9307367,9307367,882,350,24984453,24949077,3799,1589,100568238,93896772,46.83,48,37.25,37.31,10.87,10.57,9.25,9.91\
6066,9,13,530100,9013530100,2271,1034,2603544,2461430,29219,13911,46837328,45866666,2271,1034,2603544,2461430,7.77,7.43,5.56,5.37,100,100,100,100\
6066,9,13,530200,9013530200,6177,2972,3197788,3197788,29219,13911,46837328,45866666,6177,2972,3197788,3197788,21.14,21.36,6.83,6.97,100,100,100,100\
6066,9,13,530301,9013530301,5533,2866,4480474,4480474,29219,13911,46837328,45866666,5533,2866,4480474,4480474,18.94,20.6,9.57,9.77,100,100,100,100\
6066,9,13,530302,9013530302,5984,2872,8153100,8153100,29219,13911,46837328,45866666,5984,2872,8153100,8153100,20.48,20.65,17.41,17.78,100,100,100,100\
6066,9,13,530400,9013530400,3273,1716,4468294,4448858,29219,13911,46837328,45866666,3273,1716,4468294,4448858,11.2,12.34,9.54,9.7,100,100,100,100\
6066,9,13,530500,9013530500,3243,1334,6463330,6408739,29219,13911,46837328,45866666,3243,1334,6463330,6408739,11.1,9.59,13.8,13.97,100,100,100,100\
